round,mean_acc,max_acc,min_acc,consensus_gap,avg_loss
1,45.6700,59.0400,37.6600,21.3800,2.1797
2,61.8347,65.2200,58.4200,6.8000,2.0135
3,68.0387,70.3800,64.0400,6.3400,1.7721
4,70.4933,72.5500,68.4200,4.1300,1.4198
5,72.3987,74.8800,70.1800,4.7000,1.1446
6,72.8680,74.7400,70.6800,4.0600,0.8991
7,75.0667,76.8700,72.5700,4.3000,0.7772
8,77.5320,80.1600,76.0900,4.0700,0.6976
9,78.8213,80.5700,77.1000,3.4700,0.5565
10,80.1727,81.1400,78.2400,2.9000,0.6439
11,81.7720,83.4900,80.4800,3.0100,0.5784
12,82.9413,83.3600,81.8200,1.5400,0.4934
13,84.2453,84.9300,83.3300,1.6000,0.5478
14,85.1493,85.7100,84.2900,1.4200,0.5055
15,85.8840,86.3800,84.9700,1.4100,0.4855
16,86.3653,86.8300,85.6100,1.2200,0.4341
17,87.1387,87.4400,86.4500,0.9900,0.4108
18,87.4460,87.7600,86.5400,1.2200,0.4740
19,87.8107,88.3400,86.9400,1.4000,0.4746
20,88.0693,88.5100,87.6200,0.8900,0.5185
